video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
40469.npz,60,0.0,0.3253968253968254,0.016666666666666666,1.0,0.9833333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,False,ASL
40470.npz,89,0.011235955056179775,0.29373996789727125,0.011235955056179775,0.9887640449438202,0.9887640449438202,0.2247191011235955,0.2247191011235955,0.2247191011235955,0.7752808988764045,True,ASL
40474.npz,60,0.0,0.15079365079365079,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
40476.npz,61,0.0,0.7111631537861046,0.0,1.0,1.0,0.39344262295081966,0.39344262295081966,0.39344262295081966,0.6065573770491803,False,ASL
40477.npz,60,0.0,0.48412698412698413,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,ASL
40559.npz,98,0.0,0.29057337220602525,0.0,1.0,1.0,0.24489795918367346,0.24489795918367346,0.24489795918367346,0.7551020408163265,True,ASL
40560.npz,60,0.0,0.3412698412698413,0.016666666666666666,1.0,0.9833333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.7666666666666666,False,ASL
40561.npz,81,0.0,0.3356848912404468,0.02231718898385565,1.0,0.9776828110161444,0.2839506172839506,0.2839506172839506,0.2839506172839506,0.7160493827160495,False,ASL
40565.npz,60,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
40566.npz,60,0.016666666666666666,0.23809523809523808,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
40569.npz,60,0.0,0.4523809523809524,0.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333333,False,ASL
40528.npz,69,0.0,0.5790200138026225,0.0,1.0,1.0,0.3188405797101449,0.3188405797101449,0.3188405797101449,0.6811594202898551,False,ASL
40529.npz,76,0.013157894736842105,0.3107769423558897,0.013157894736842105,0.9868421052631579,0.9868421052631579,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.736842105263158,False,ASL
40531.npz,60,0.03333333333333333,0.07936507936507936,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
40532.npz,60,0.06666666666666667,0.5714285714285714,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.1,0.1,0.1,0.9,False,ASL
40533.npz,60,0.0,0.2857142857142857,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
40577.npz,69,0.0,0.6756383712905452,0.014492753623188406,1.0,0.9855072463768116,0.3188405797101449,0.3188405797101449,0.3188405797101449,0.6811594202898551,False,ASL
40578.npz,60,0.0,0.6428571428571429,0.03333333333333333,1.0,0.9666666666666667,0.25,0.25,0.25,0.75,False,ASL
40579.npz,60,0.0,0.6507936507936508,0.016666666666666666,1.0,0.9833333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.7333333333333334,False,ASL
40581.npz,60,0.016666666666666666,0.5317460317460317,0.11666666666666667,0.9833333333333333,0.8833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
66253.npz,60,0.0,0.6746031746031746,0.000641025641025641,1.0,0.9993589743589744,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6833333333333333,False,ASL
40635.npz,76,0.0,0.32957393483709274,0.0,1.0,1.0,0.27631578947368424,0.27631578947368424,0.27631578947368424,0.7236842105263157,False,ASL
40636.npz,60,0.0,0.3968253968253968,0.016666666666666666,1.0,0.9833333333333333,0.3,0.3,0.3,0.7,False,ASL
40637.npz,60,0.0,0.4126984126984127,0.016666666666666666,1.0,0.9833333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,ASL
40638.npz,88,0.0,0.2911255411255411,0.0,1.0,1.0,0.2159090909090909,0.2159090909090909,0.2159090909090909,0.7840909090909091,True,ASL
40639.npz,60,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
40640.npz,60,0.0,0.07936507936507936,0.0,1.0,1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
40642.npz,60,0.0,0.3968253968253968,0.0,1.0,1.0,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.7166666666666667,False,ASL
66255.npz,66,0.0,0.30735930735930733,0.0,1.0,1.0,0.25757575757575757,0.25757575757575757,0.25757575757575757,0.7424242424242424,False,ASL
40650.npz,72,0.0,0.33201058201058203,0.0037393162393162395,1.0,0.9962606837606838,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.7083333333333333,False,ASL
40651.npz,68,0.0,0.2927170868347339,0.013574660633484163,1.0,0.9864253393665159,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.7647058823529411,True,ASL
40652.npz,64,0.0,0.4494047619047619,0.0,1.0,1.0,0.375,0.375,0.375,0.625,False,ASL
40654.npz,60,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
