dataset,gloss,video,path,hand,valid_frame_ratio,dominant_location,head_ratio,shoulder_ratio,chest_ratio,waist_ratio,below_waist_ratio
VSL,góc bẹt,W01501.npz,dataset\VSL\góc bẹt\W01501.npz,right,0.7473684210526316,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,góc bếp,W01502.npz,dataset\VSL\góc bếp\W01502.npz,left,0.7195121951219512,shoulder,0.0,0.9830508474576272,0.0,0.0,0.01694915254237288
VSL,góc bếp,W01502.npz,dataset\VSL\góc bếp\W01502.npz,right,0.7195121951219512,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,góc nhọn,W01505.npz,dataset\VSL\góc nhọn\W01505.npz,left,0.76,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,góc nhọn,W01505.npz,dataset\VSL\góc nhọn\W01505.npz,right,0.76,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,góc tù,W01506.npz,dataset\VSL\góc tù\W01506.npz,left,0.8840579710144928,shoulder,0.0,0.994535519125683,0.00546448087431694,0.0,0.0
VSL,góc tù,W01506.npz,dataset\VSL\góc tù\W01506.npz,right,0.8840579710144928,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,góc vuông,W01507.npz,dataset\VSL\góc vuông\W01507.npz,left,0.691358024691358,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,góc vuông,W01507.npz,dataset\VSL\góc vuông\W01507.npz,right,0.691358024691358,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,góc vườn,W01508.npz,dataset\VSL\góc vườn\W01508.npz,left,0.6701030927835051,shoulder,0.0,1.0,0.0,0.0,0.0
